날짜,종가,전일비,시가,고가,저가,거래량
2025.11.03,110900,"상승  3,400",106900,111500,106500,26094559
2025.10.31,107500,"상승  3,400",105000,108600,103300,54824564
2025.10.30,104100,"상승  3,600",102400,105800,102000,34570017
2025.10.29,100500,"상승  1,000",100200,101000,99100,20899788
2025.10.28,99500,"하락  2,500",100900,101000,99100,20002282
2025.10.27,102000,"상승  3,200",101300,102000,100600,22169970
2025.10.24,98800,"상승  2,300",97900,99000,97700,18801925
2025.10.23,96500,"하락  2,100",96800,98500,96300,18488581
2025.10.22,98600,"상승  1,100",97100,98600,95500,15937611
2025.10.21,97500,하락  600,98500,99900,97300,22803830
2025.10.20,98100,상승  200,97900,98300,96000,17589756
2025.10.17,97900,상승  200,97200,99100,96700,22730809
2025.10.16,97700,"상승  2,700",95300,97700,95000,28141060
2025.10.15,95000,"상승  3,400",92300,95300,92100,21050111
2025.10.14,91600,"하락  1,700",95300,96000,90200,35545235
2025.10.13,93300,"하락  1,100",91300,93400,90700,23883308
2025.10.10,94400,"상승  5,400",94000,94500,92700,35269748
2025.10.02,89000,"상승  3,000",89300,90300,88700,49883028
2025.10.01,86000,"상승  2,100",84900,86200,84700,22039361
2025.09.30,83900,하락  300,84600,84900,83400,16319061
2025.09.29,84200,상승  900,83300,85000,83200,13069094
2025.09.26,83300,"하락  2,800",85000,85300,82400,24071193
2025.09.25,86100,상승  700,84400,86200,84100,19665151
2025.09.24,85400,상승  700,84200,85500,83700,18300997
2025.09.23,84700,"상승  1,200",85800,85900,83600,23610263
2025.09.22,83500,"상승  3,800",81500,84000,81100,27529656
2025.09.19,79700,하락  800,81100,81200,79600,20898386
2025.09.18,80500,"상승  2,300",79100,80500,78600,25619035
2025.09.17,78200,"하락  1,200",79100,79100,77100,20856317
2025.09.16,79400,"상승  2,900",76900,79500,76700,28218265
2025.09.15,76500,"상승  1,100",77200,77600,75900,19908805
2025.09.12,75400,"상승  2,000",74600,75600,74200,28219678
2025.09.11,73400,상승  800,73200,73600,72100,20793501
2025.09.10,72600,"상승  1,100",71800,72800,71600,21928565
2025.09.09,71500,"상승  1,400",70100,71500,70000,14870245
2025.09.08,70100,상승  600,69800,70500,69600,9263135
2025.09.05,69500,하락  600,70300,70400,69500,11526724
2025.09.04,70100,상승  300,69500,70100,69300,12284414
2025.09.03,69800,상승  700,69200,69800,68800,10283009
2025.09.02,69100,"상승  1,500",67800,69500,67800,10604028
2025.09.01,67600,"하락  2,100",68400,68600,67500,12002343
2025.08.29,69700,상승  100,70100,70500,69700,11682267
2025.08.28,69600,"하락  1,000",70100,70400,69600,11578024
2025.08.27,70600,상승  300,70100,70900,69800,10523405
2025.08.26,70300,"하락  1,200",70800,71100,70300,14712519
2025.08.25,71500,상승  100,71700,71800,71000,10345178
2025.08.22,71400,상승  800,71700,71800,70800,9277432
2025.08.21,70600,상승  100,71500,71900,70600,18843833
2025.08.20,70500,상승  500,70100,70700,69400,17445516
2025.08.19,70000,보합0,70400,70700,69700,10533082
2025.08.18,70000,"하락  1,600",71100,71200,70000,13595591
2025.08.14,71600,하락  300,71900,71900,71200,11946122
2025.08.13,71900,상승  800,71900,72100,71400,12305742
2025.08.12,71100,상승  100,71100,72400,71100,15797656
2025.08.11,71000,하락  800,72000,72100,70800,11354253
2025.08.08,71800,"상승  1,300",71000,72400,70700,22241128
2025.08.07,70500,"상승  1,700",70800,71000,69700,15008213
2025.08.06,68800,"하락  1,100",69200,69400,68300,12542415
2025.08.05,69900,상승  200,71000,71500,69700,14392903
2025.08.04,69700,상승  800,69500,70200,68700,14780072
2025.08.01,68900,"하락  2,500",70200,72000,68800,24038534
2025.07.31,71400,"하락  1,200",73000,74000,71000,26568072
2025.07.30,72600,"상승  2,000",71000,73700,70600,34761444
2025.07.29,70600,상승  200,70800,70800,68800,28190940
2025.07.28,70400,"상승  4,500",68200,70400,67200,35332500
2025.07.25,65900,하락  100,65700,66300,65500,8080910
2025.07.24,66000,하락  400,66500,66800,65900,12660193
2025.07.23,66400,상승  400,66200,66500,64900,15687058
2025.07.22,66000,"하락  1,800",68100,68500,65600,20829006
2025.07.21,67800,상승  700,67400,68800,67200,17723148
2025.07.18,67100,상승  400,67000,67800,66300,23951531
2025.07.17,66700,"상승  2,000",65900,66800,64400,39448683
2025.07.16,64700,"상승  1,000",63700,64700,63100,23042660
2025.07.15,63700,"상승  1,200",62300,63800,62000,18442202
2025.07.14,62500,하락  100,62300,62600,61800,13563846
2025.07.11,62600,"상승  1,600",61300,62800,61200,19140650
2025.07.10,61000,상승  600,60600,61200,60400,14768473
2025.07.09,60400,"하락  1,000",61400,61400,60200,17533415
2025.07.08,61400,하락  300,61600,62400,61000,20213724
2025.07.07,61700,"하락  1,600",62900,63300,61700,17164708
2025.07.04,63300,하락  500,64700,64700,63000,23748959
2025.07.03,63800,"상승  3,000",61300,63800,61100,32040639
2025.07.02,60800,상승  600,60200,60900,59800,15047951
2025.07.01,60200,상승  400,60400,61100,60200,13650991
2025.06.30,59800,"하락  1,000",61200,61200,59800,17110294
2025.06.27,60800,상승  600,60100,61600,60000,17340470
2025.06.26,60200,"하락  1,100",61300,61300,59900,19402300
2025.06.25,61300,상승  800,61500,61600,60300,23933612
2025.06.24,60500,"상승  2,500",59400,60600,59300,23737899
2025.06.23,58000,"하락  1,500",58400,58500,57600,16551694
2025.06.20,59500,상승  300,59400,59800,59100,18072251
2025.06.19,59200,하락  600,60500,60600,59000,16876278
2025.06.18,59800,"상승  1,700",58000,59800,57900,17620705
2025.06.17,58100,상승  900,57800,59800,57400,28637003
2025.06.16,57200,"하락  1,100",58000,58100,56900,22200872
2025.06.13,58300,"하락  1,200",60200,60200,57700,20705979
2025.06.12,59500,하락  400,59700,60000,59300,17755115
2025.06.11,59900,상승  700,59500,60100,59400,13610734
2025.06.10,59200,하락  600,60000,60100,58800,15305760
2025.06.09,59800,상승  700,60400,60400,59500,19609659
2025.06.05,59100,"상승  1,300",58100,59900,57900,23266027
2025.06.04,57800,"상승  1,000",57200,57900,56800,19649983
2025.06.02,56800,상승  600,56300,57300,56200,12870515
2025.05.30,56200,상승  100,56200,57200,55800,26219683
2025.05.29,56100,상승  200,56200,56400,55600,12936810
2025.05.28,55900,"상승  2,000",54300,56100,54200,17516283
2025.05.27,53900,하락  800,54200,54500,53800,13439520
2025.05.26,54700,상승  500,53900,55000,53700,10901337
2025.05.23,54200,하락  500,55000,55200,54100,11247115
2025.05.22,54700,"하락  1,000",55300,55500,54500,15254278
2025.05.21,55700,하락  200,56200,56600,55700,7794181
2025.05.20,55900,상승  100,56200,56700,55700,9080577
2025.05.19,55800,"하락  1,000",56400,56400,55500,9802105
2025.05.16,56800,하락  500,57400,57500,56700,10385352
2025.05.15,57300,하락  100,57400,58600,57100,13139736
2025.05.14,57400,상승  500,57500,57900,57000,12468089
2025.05.13,56900,하락  700,57700,58200,56800,16842801
2025.05.12,57600,"상승  2,800",55200,57600,55000,15414702
2025.05.09,54800,상승  200,54700,55000,54400,7814322
2025.05.08,54600,보합0,55100,55500,54500,16320532
2025.05.07,54600,상승  300,54500,55000,54300,17136991
2025.05.02,54300,"하락  1,200",55000,55500,54200,22454204
2025.04.30,55500,하락  300,55900,56000,55300,13014189
2025.04.29,55800,보합0,55700,56500,55600,10295518
2025.04.28,55800,상승  100,55800,55900,55500,9341518
2025.04.25,55700,보합0,56400,56400,55600,12183303
2025.04.24,55700,보합0,55600,55800,55200,10580377
2025.04.23,55700,상승  700,56000,56100,55500,11148692
2025.04.22,55000,하락  400,54900,55500,54700,9532469
2025.04.21,55400,상승  100,55200,56000,55100,5941847
2025.04.18,55300,상승  200,55300,55600,54900,5848342
2025.04.17,55100,상승  400,54700,55300,54500,10867069
2025.04.16,54700,"하락  1,900",56000,56200,54500,14437025
2025.04.15,56600,상승  400,56300,57100,56200,8998640
2025.04.14,56200,"상승  1,000",56300,56700,55800,12852613
2025.04.11,55200,"하락  1,200",55600,55700,54800,13930480
2025.04.10,56400,"상승  3,400",56600,56700,55000,22948172
2025.04.09,53000,하락  500,53300,54300,52900,20576960
2025.04.08,53500,상승  300,55000,55300,53300,25532845
2025.04.07,53200,"하락  2,900",53300,54100,53100,31998883
2025.04.04,56100,"하락  1,500",56200,58200,55700,23527139
2025.04.03,57600,"하락  1,200",56900,57800,56900,19508076
2025.04.02,58800,보합0,58800,59400,58300,14402297
2025.04.01,58800,"상승  1,000",58700,59600,57900,13841706
2025.03.31,57800,"하락  2,400",59500,59700,57800,17633494
2025.03.28,60200,"하락  1,600",60700,61100,60000,16282514
2025.03.27,61800,상승  400,60900,62000,60800,20389790
2025.03.26,61400,"상승  1,600",59800,61400,59700,16431645
2025.03.25,59800,하락  700,60900,61100,59500,17259455
2025.03.24,60500,"하락  1,200",61200,61600,60500,14088094
2025.03.21,61700,"상승  1,500",60900,61700,60400,40155612
2025.03.20,60200,"상승  1,700",59200,60300,58500,34989004
2025.03.19,58500,상승  900,57400,59200,57400,29421759
2025.03.18,57600,보합0,58800,59000,57300,28138594
2025.03.17,57600,"상승  2,900",55500,57800,55400,35559021
2025.03.14,54700,보합0,54500,55100,54400,10845154
2025.03.13,54700,하락  200,55800,55900,54200,24132151
2025.03.12,54900,"상승  1,300",53800,55300,53600,17973221
2025.03.11,53600,하락  100,52500,54100,52500,17740891
2025.03.10,53700,보합0,53500,54800,53500,12921670
2025.03.07,53700,하락  600,53500,54200,53400,14274992
2025.03.06,54300,상승  300,54100,54500,54000,12258101
2025.03.05,54000,하락  500,55100,55400,54000,16578817
2025.03.04,54500,보합0,53900,55000,53800,18553933
2025.02.28,54500,"하락  1,800",55400,55700,54500,28036698
2025.02.27,56300,하락  300,56500,57100,56200,14975356
2025.02.26,56600,하락  600,57000,57100,56100,18117091
2025.02.25,57200,하락  100,56600,57800,56500,14625181
2025.02.24,57300,하락  900,57300,57700,57200,14138471
2025.02.21,58200,하락  200,58400,58500,57100,22198428
2025.02.20,58400,하락  300,59100,59100,58100,21589059
2025.02.19,58700,"상승  1,800",57400,58900,57300,25395151
2025.02.18,56900,상승  900,56200,57200,55900,22131007
2025.02.17,56000,보합0,56100,56500,55700,11916027
2025.02.14,56000,상승  200,56000,57300,56000,23979779
2025.02.13,55800,보합0,56100,56400,55600,22448377
2025.02.12,55800,상승  100,55100,55900,54500,26428596
2025.02.11,55700,상승  100,55500,56300,55000,24596196
2025.02.10,55600,"상승  1,900",53000,55900,52900,27577591
2025.02.07,53700,하락  300,53900,54200,53600,14476866
2025.02.06,54000,"상승  1,100",53400,54000,53200,16466025
2025.02.05,52900,상승  200,53600,53800,52800,15974885
2025.02.04,52700,"상승  1,700",51600,53600,51500,27214851
2025.02.03,51000,"하락  1,400",51100,51400,50800,32344897
2025.01.31,52400,"하락  1,300",52200,53000,51700,42186279
2025.01.24,53700,보합0,53600,53800,53200,11867631
2025.01.23,53700,하락  600,53700,54100,53500,15588067
2025.01.22,54300,상승  800,53400,54400,53100,18341991
2025.01.21,53500,상승  100,53700,54300,53300,13535702
2025.01.20,53400,하락  300,53600,53900,53300,11822531
2025.01.17,53700,하락  600,53800,54100,53200,18805344
2025.01.16,54300,상승  600,54200,55000,54100,18627298
2025.01.15,53700,하락  200,54100,54700,53500,18625025
2025.01.14,53900,하락  200,54200,54600,53700,17465926
2025.01.13,54100,"하락  1,200",54600,55000,54100,16868600
2025.01.10,55300,하락  800,56100,56500,55200,16059223
2025.01.09,56100,"하락  1,200",57600,57700,56100,24490592
2025.01.08,57300,"상승  1,900",54800,57500,54700,26593553
2025.01.07,55400,하락  500,56800,57300,55400,17030235
2025.01.06,55900,"상승  1,500",54400,56200,54300,19034284
2025.01.03,54400,"상승  1,000",52800,55100,52800,19318046
2025.01.02,53400,상승  200,52700,53600,52300,16630538
2024.12.30,53200,하락  500,53300,54000,53100,12624702
2024.12.27,53700,상승  100,53500,54100,53200,10747196
2024.12.26,53600,하락  800,54500,54600,53500,10517075
2024.12.24,54400,상승  900,53700,54500,53600,11634677
2024.12.23,53500,상승  500,53400,54000,53300,13672650
2024.12.20,53000,하락  100,52700,53100,51900,24674774
2024.12.19,53100,"하락  1,800",53500,53800,53100,22481925
2024.12.18,54900,상승  700,54100,55400,54000,13698937
2024.12.17,54200,"하락  1,400",54700,55200,54000,20215230
2024.12.16,55600,하락  500,56300,56600,55200,15277277
2024.12.13,56100,상승  200,55800,56300,55500,15908823
2024.12.12,55900,"상승  1,900",54000,56500,53900,33476698
2024.12.11,54000,보합0,53600,54200,53400,14565947
2024.12.10,54000,상승  600,54500,54500,53700,20783970
2024.12.09,53400,하락  700,53500,54600,53200,26227680
2024.12.06,54100,상승  400,53900,54400,52700,22861874
2024.12.05,53700,상승  600,53200,54400,53200,23588277
2024.12.04,53100,하락  500,52000,53400,52000,29004766
2024.12.03,53600,보합0,53100,54400,53100,23374603
2024.12.02,53600,하락  600,54300,54400,53100,22044867
2024.11.29,54200,"하락  1,300",55100,55300,53800,24513531
2024.11.28,55500,하락  800,56000,56400,55200,20001134
2024.11.27,56300,"하락  2,000",57700,57800,56000,21808387
2024.11.26,58300,상승  400,57900,58900,57500,23209405
2024.11.25,57900,"상승  1,900",57400,57900,56700,36237325
2024.11.22,56000,하락  400,56000,56700,55900,15281543
2024.11.21,56400,"상승  1,100",54900,56900,54700,19096850
2024.11.20,55300,"하락  1,000",56100,56500,54800,20864667
2024.11.19,56300,하락  400,56500,57500,55900,31539632
2024.11.18,56700,"상승  3,200",57000,57500,55900,48095234
2024.11.15,53500,"상승  3,600",50300,54200,50300,46774485
2024.11.14,49900,하락  700,50200,51800,49900,48510715
2024.11.13,50600,"하락  2,400",52000,53000,50500,52527995
2024.11.12,53000,"하락  2,000",54600,54600,53000,37962881
2024.11.11,55000,"하락  2,000",56700,56800,55000,29811326
2024.11.08,57000,하락  500,58000,58300,57000,13877396
2024.11.07,57500,상승  200,56900,58100,56800,17043102
2024.11.06,57300,하락  300,57600,58000,56300,22092218
2024.11.05,57600,"하락  1,100",57800,58100,57200,17484474
2024.11.04,58700,상승  400,58600,59400,58400,15586947
2024.11.01,58300,하락  900,59000,59600,58100,19083180
2024.10.31,59200,상승  100,58500,61200,58300,35809196
2024.10.30,59100,하락  500,59100,59800,58600,19838511
2024.10.29,59600,"상승  1,500",58000,59600,57300,28369314
2024.10.28,58100,"상승  2,200",55700,58500,55700,27775009
2024.10.25,55900,하락  700,56000,56900,55800,25829315
2024.10.24,56600,"하락  2,500",58200,58500,56600,31499922
2024.10.23,59100,"상승  1,400",57500,60000,57100,27300780
2024.10.22,57700,"하락  1,300",58800,58900,57700,27582527
2024.10.21,59000,하락  200,59000,59600,58500,18514905
2024.10.18,59200,하락  500,59900,60100,59100,14420260
