구분,세대수,인구수(계),인구수(남),인구수(여),18세미만인구수(계),18세미만인구수(남),18세미만인구수(여),18세이상인구수(계),18세이상인구수(남),18세이상인구수(여),65세이상인구수(계),65세이상인구수(남),65세이상인구수(여),데이터기준일자
중앙동,4853,9600,4734,4866,1132,588,544,5880,3000,2880,2588,1146,1442,2024-12-01
풍남동,2226,3510,1742,1768,172,95,77,1870,1027,843,1468,620,848,2024-12-01
노송동,5453,10341,5066,5275,949,519,430,6068,3129,2939,3324,1418,1906,2024-12-01
완산동,2575,4818,2357,2461,470,259,211,2752,1443,1309,1596,655,941,2024-12-01
동서학동,3112,5793,2812,2981,446,236,210,3244,1661,1583,2103,915,1188,2024-12-01
서서학동,4314,7901,3812,4089,551,280,271,4675,2420,2255,2675,1112,1563,2024-12-01
중화산1동,6309,13439,6368,7071,1561,821,740,8765,4205,4560,3113,1342,1771,2024-12-01
중화산2동,9173,18862,9451,9411,2840,1460,1380,13438,6781,6657,2584,1210,1374,2024-12-01
서신동,17494,38761,18856,19905,5890,3027,2863,27018,13275,13743,5853,2554,3299,2024-12-01
평화1동,6963,11756,5584,6172,872,483,389,6913,3536,3377,3971,1565,2406,2024-12-01
평화2동,18559,43036,20603,22433,6573,3295,3278,27889,13595,14294,8574,3713,4861,2024-12-01
삼천1동,5354,11558,5628,5930,1386,735,651,7537,3716,3821,2635,1177,1458,2024-12-01
삼천2동,6031,12212,5837,6375,1177,607,570,7890,3814,4076,3145,1416,1729,2024-12-01
삼천3동,9172,20690,9916,10774,2679,1370,1309,13735,6710,7025,4276,1836,2440,2024-12-01
효자1동,5857,12738,6068,6670,1621,828,793,7888,3879,4009,3229,1361,1868,2024-12-01
효자2동,4431,9057,4324,4733,897,469,428,5795,2845,2950,2365,1010,1355,2024-12-01
효자3동,5958,13740,6395,7345,1659,854,805,8784,4157,4627,3297,1384,1913,2024-12-01
효자4동,16778,38680,18873,19807,7484,3815,3669,26800,13106,13694,4396,1952,2444,2024-12-01
효자5동,18562,36041,18005,18036,5036,2633,2403,28378,14200,14178,2627,1172,1455,2024-12-01
진북동,6437,12345,5924,6421,975,511,464,7054,3637,3417,4316,1776,2540,2024-12-01
인후1동,7396,17144,8223,8921,2602,1287,1315,10738,5295,5443,3804,1641,2163,2024-12-01
인후2동,5692,10170,4996,5174,847,444,403,6203,3174,3029,3120,1378,1742,2024-12-01
인후3동,14394,29931,14784,15147,4578,2325,2253,20767,10519,10248,4586,1940,2646,2024-12-01
덕진동,11021,20548,10462,10086,2901,1491,1410,14433,7600,6833,3214,1371,1843,2024-12-01
금암1동,5881,8093,4387,3706,365,183,182,6226,3536,2690,1502,668,834,2024-12-01
금암2동,5177,9442,4602,4840,774,389,385,5890,3053,2837,2778,1160,1618,2024-12-01
팔복동,4509,7337,3977,3360,498,257,241,4669,2756,1913,2170,964,1206,2024-12-01
우아1동,5882,11843,5921,5922,1589,807,782,7859,4016,3843,2395,1098,1297,2024-12-01
우아2동,7674,13783,7294,6489,1362,700,662,9646,5308,4338,2775,1286,1489,2024-12-01
호성동,7890,18565,8835,9730,2628,1329,1299,11984,5804,6180,3953,1702,2251,2024-12-01
송천1동,24364,64732,31974,32758,14940,7647,7293,43934,21724,22210,5858,2603,3255,2024-12-01
송천2동,11135,26397,12885,13512,4013,1999,2014,17834,8889,8945,4550,1997,2553,2024-12-01
조촌동,6296,12087,6168,5919,1406,739,667,7858,4195,3663,2823,1234,1589,2024-12-01
여의동,7084,15763,7972,7791,2251,1193,1058,10450,5424,5026,3062,1355,1707,2024-12-01
혁신동,13069,36008,17709,18299,9777,4952,4825,24135,11799,12336,2096,958,1138,2024-12-01
