동,합계,남,여
중앙동,9600,4734,4866
풍남동,3510,1742,1768
노송동,10341,5066,5275
완산동,4818,2357,2461
동서학동,5793,2812,2981
서서학동,7901,3812,4089
중화산1동,13439,6368,7071
중화산2동,18862,9451,9411
서신동,38761,18856,19905
평화1동,11756,5584,6172
평화2동,43036,20603,22433
삼천1동,11558,5628,5930
삼천2동,12212,5837,6375
삼천3동,20690,9916,10774
효자1동,12738,6068,6670
효자2동,9057,4324,4733
효자3동,13740,6395,7345
효자4동,38680,18873,19807
효자5동,36041,18005,18036
진북동,12345,5924,6421
인후1동,17144,8223,8921
인후2동,10170,4996,5174
인후3동,29931,14784,15147
덕진동,20548,10462,10086
금암1동,8093,4387,3706
금암2동,9442,4602,4840
팔복동,7337,3977,3360
우아1동,11843,5921,5922
우아2동,13783,7294,6489
호성동,18565,8835,9730
송천1동,64732,31974,32758
송천2동,26397,12885,13512
조촌동,12087,6168,5919
여의동,15763,7972,7791
혁신동,36008,17709,18299
