,date,close_price,volume
4999,2005-08-11,567000,397705
4998,2005-08-12,578000,489617
4997,2005-08-16,572000,520855
4996,2005-08-17,572000,408410
4995,2005-08-18,555000,670314
4994,2005-08-19,553000,418721
4993,2005-08-22,563000,391070
4992,2005-08-23,562000,375451
4991,2005-08-24,556000,479797
4990,2005-08-25,552000,487216
4989,2005-08-26,549000,378335
4988,2005-08-29,540000,365599
4987,2005-08-30,541000,298314
4986,2005-08-31,544000,244132
4985,2005-09-01,549000,239426
4984,2005-09-02,554000,243894
4983,2005-09-05,561000,218480
4982,2005-09-06,569000,381016
4981,2005-09-07,579000,351354
4980,2005-09-08,587000,692548
4979,2005-09-09,589000,262111
4978,2005-09-12,589000,401478
4977,2005-09-13,606000,697730
4976,2005-09-14,613000,511770
4975,2005-09-15,607000,580759
4974,2005-09-16,593000,612542
4973,2005-09-20,593000,560903
4972,2005-09-21,601000,381782
4971,2005-09-22,600000,320007
4970,2005-09-23,585000,373549
4969,2005-09-26,597000,437917
4968,2005-09-27,593000,318206
4967,2005-09-28,598000,270129
4966,2005-09-29,590000,394362
4965,2005-09-30,588000,458085
4964,2005-10-04,602000,544049
4963,2005-10-05,601000,446328
4962,2005-10-06,586000,422333
4961,2005-10-07,581000,513223
4960,2005-10-10,593000,301891
4959,2005-10-11,599000,215077
4958,2005-10-12,578000,571620
4957,2005-10-13,562000,723035
4956,2005-10-14,562000,628182
4955,2005-10-17,563000,350592
4954,2005-10-18,565000,356791
4953,2005-10-19,550000,374710
4952,2005-10-20,556000,359267
4951,2005-10-21,564000,438004
4950,2005-10-24,567000,342068
4949,2005-10-25,565000,370469
4948,2005-10-26,563000,315372
4947,2005-10-27,558000,387209
4946,2005-10-28,546000,438963
4945,2005-10-31,552000,391918
4944,2005-11-01,564000,615171
4943,2005-11-02,575000,314320
4942,2005-11-03,587000,471441
4941,2005-11-04,599000,496143
4940,2005-11-07,600000,259275
4939,2005-11-08,603000,294792
4938,2005-11-09,601000,358627
4937,2005-11-10,605000,377342
4936,2005-11-11,618000,590875
4935,2005-11-14,626000,443395
4934,2005-11-15,621000,281923
4933,2005-11-16,630000,280777
4932,2005-11-17,624000,250852
4931,2005-11-18,627000,291995
4930,2005-11-21,621000,481865
4929,2005-11-22,590000,912923
4928,2005-11-23,607000,864854
4927,2005-11-24,608000,310103
4926,2005-11-25,600000,315126
4925,2005-11-28,601000,188687
4924,2005-11-29,594000,350219
4923,2005-11-30,598000,358182
4922,2005-12-01,606000,406300
4921,2005-12-02,617000,392830
4920,2005-12-05,622000,251823
4919,2005-12-06,630000,423633
4918,2005-12-07,641000,530716
4917,2005-12-08,633000,538546
4916,2005-12-09,622000,465264
4915,2005-12-12,618000,371779
4914,2005-12-13,618000,360761
4913,2005-12-14,609000,534330
4912,2005-12-15,609000,374817
4911,2005-12-16,602000,594153
4910,2005-12-19,608000,363354
4909,2005-12-20,612000,343970
4908,2005-12-21,628000,507287
4907,2005-12-22,634000,561916
4906,2005-12-23,645000,576358
4905,2005-12-26,654000,356642
4904,2005-12-27,662000,361357
4903,2005-12-28,661000,430162
4902,2005-12-29,659000,420541
4901,2006-01-02,659000,419111
4900,2006-01-03,665000,358018
4899,2006-01-04,699000,785812
4898,2006-01-05,679000,710373
4897,2006-01-06,687000,353915
4896,2006-01-09,688000,325507
4895,2006-01-10,698000,485875
4894,2006-01-11,683000,356985
4893,2006-01-12,684000,405859
4892,2006-01-13,694000,490124
4891,2006-01-16,706000,403367
4890,2006-01-17,697000,436666
4889,2006-01-18,680000,621662
4888,2006-01-19,689000,409902
4887,2006-01-20,687000,461590
4886,2006-01-23,685000,552960
4885,2006-01-24,698000,594140
4884,2006-01-25,714000,587614
4883,2006-01-26,716000,392954
4882,2006-01-27,720000,338278
4881,2006-01-31,740000,460173
4880,2006-02-01,730000,442082
4879,2006-02-02,725000,406240
4878,2006-02-03,704000,444154
4877,2006-02-06,706000,430411
4876,2006-02-07,706000,349104
4875,2006-02-08,690000,401348
4874,2006-02-09,691000,385790
4873,2006-02-10,687000,451657
4872,2006-02-13,678000,488896
4871,2006-02-14,673000,543456
4870,2006-02-15,654000,676967
4869,2006-02-16,656000,497309
